HAPLO,N,S,T,,O,126,281,407,,,193,347,,
C,28,17,45,,C,28,17,45,14.51%,4.90%,193,347,540,8.3%
C3,25,14,39,,D,2,6,8,1.04%,1.73%,193,347,540,1.5%
C3*,3,1,4,,,,,,,,,,,
C3*-,1,0,1,,G,1,0,1,0.52%,#DIV/0!,193,347,540,0.2%
C3*-s,1,0,1,,,,,,,,,,,
C3*-st,1,0,1,,J,1,0,1,0.52%,#DIV/0!,193,347,540,0.2%
C3*-sta,1,0,1,,N,15,24,39,#DIV/0!,6.92%,193,347,540,7.2%
C3*-star,1,0,1,,O1a,10,55,65,5.18%,15.85%,193,347,540,12.0%
C3a,15,13,28,,O1b,5,12,17,2.59%,3.46%,193,347,540,3.1%
C3a1,1,0,1,,O1b1a1a*,4,10,14,2.07%,2.88%,193,347,540,2.6%
C3a1a,1,0,1,,O2,111,213,324,57.51%,61.38%,193,347,540,60.0%
C3b,5,0,5,,O2a,97,192,289,50.26%,55.33%,193,347,540,53.5%
C3b*,5,0,5,,O2a1c,30,53,83,15.54%,15.27%,193,347,540,15.4%
C3d,1,0,1,,O2a2a1a2,2,8,10,1.04%,2.31%,193,347,540,1.9%
D,2,6,8,,O2a2b1,49,93,142,25.39%,26.80%,193,347,540,26.3%
D1,2,5,7,,O2a2b1a1,28,51,79,14.51%,14.70%,193,347,540,14.6%
D1*,0,1,1,,Q,9,14,23,4.66%,4.03%,193,347,540,4.3%
D1a,1,0,1,,R,8,3,11,4.15%,0.86%,193,347,540,2.0%
D1a*,1,0,1,,,190,345,535,98.45%,99.42%,193,347,540,
E,1,1,2,,,,,,,,193,,,
E1,1,1,2,,,,,,,,193,,,
E1b,1,1,2,,,,,,,,193,,,
E1b1,1,1,2,,,,,,,,193,,,
E1b1b,1,1,2,,,,,,,,193,,,
E1b1b1,1,1,2,,,,,,,,193,,,
E1b1b1c,1,1,2,,,,,,,,193,,,
G,1,0,1,,,,,,,,193,,,
H,2,1,3,,,,,,,,193,,,
H1,1,0,1,,,,,,,,193,,,
H1a,1,0,1,,,,,,,,193,,,
H1a*,1,0,1,,,,,,,,193,,,
J,1,0,1,,,,,,,,193,,,
J1,1,0,1,,,,,,,,193,,,
N,15,24,39,,,,,,,,193,,,
N1,1,1,2,,,,,,,,193,,,
N1c,1,1,2,,,,,,,,193,,,
N1c1,1,1,2,,,,,,,,193,,,
O,126,281,407,,,,,,,,193,,,
O1,15,67,82,,,,,,,,193,,,
O1a,10,55,65,,,,,,,,193,,,
O1a*,0,4,4,,,,,,,,193,,,
O1a1,10,50,60,,,,,,,,,,,
O1a1a,10,50,60,,,,,,,,,,,
O1a1a*,10,50,60,,,,,,,,,,,
O1a2,0,1,1,,,,,,,,,,,
O1a2*,0,1,1,,,,,,,,,,,
O1b,5,12,17,,,,,,,,,,,
O1b1,4,12,16,,,,,,,,,,,
O1b1a,4,12,16,,,,,,,,,,,
O1b1a1,4,12,16,,,,,,,,,,,
O1b1a1*,0,2,2,,,,,,,,,,,
O1b1a1a,4,10,14,,,,,,,,,,,
O1b1a1a*,4,10,14,,,,,,,,,,,
O1b2,1,0,1,,,,,,,,,,,
O2,111,213,324,,,,,,,,,,,
O2*,14,21,35,,,,,,,,,,,
O2a,97,192,289,,,,,,,,,,,
O2a*,5,15,20,,,,,,,,,,,
O2a1,33,62,95,,,,,,,,,,,
O2a1*,2,5,7,,,,,,,,,,,
O2a1a,1,4,5,,,,,,,,,,,
O2a1a1,1,1,2,,,,,,,,,,,
O2a1a1a,1,1,2,,,,,,,,,,,
O2a1a1a1,1,1,2,,,,,,,,,,,
O2a1c,30,53,83,,,,,,,,,,,
O2a1c*,20,31,51,,,,,,,,,,,
O2a1c1,10,22,32,,,,,,,,,,,
O2a1c1a,9,22,31,,,,,,,,,,,
O2a1c1a*,9,22,31,,,,,,,,,,,
O2a1c1b,1,0,1,,,,,,,,,,,
O2a1c1b1,1,0,1,,,,,,,,,,,
O2a1c1b1*,1,0,1,,,,,,,,,,,
O2a2,59,115,174,,,,,,,,,,,
O2a2*,6,4,10,,,,,,,,,,,
O2a2a,2,9,11,,,,,,,,,,,
O2a2a1,2,9,11,,,,,,,,,,,
O2a2a1a,2,9,11,,,,,,,,,,,
O2a2a1a1,0,1,1,,,,,,,,,,,
O2a2a1a1a,0,1,1,,,,,,,,,,,
O2a2a1a1a*,0,1,1,,,,,,,,,,,
O2a2a1a2,2,8,10,,,,,,,,,,,
O2a2a1a2*,2,8,10,,,,,,,,,,,
O2a2b,51,102,153,,,,,,,,,,,
O2a2b*,2,9,11,,,,,,,,,,,
O2a2b1,49,93,142,,,,,,,,,,,
O2a2b1*,9,18,27,,,,,,,,,,,
O2a2b1a,40,75,115,,,,,,,,,,,
O2a2b1a1,28,51,79,,,,,,,,,,,
O2a2b1a1*,27,49,76,,,,,,,,,,,
O2a2b1a1a,1,2,3,,,,,,,,,,,
O2a2b1a1a1,1,2,3,,,,,,,,,,,
O2a2b1a1a1a,1,2,3,,,,,,,,,,,
O2a2b1a1a1a1,1,2,3,,,,,,,,,,,
O2a2b1a2,12,24,36,,,,,,,,,,,
O2a2b1a2a,12,24,36,,,,,,,,,,,
O2a2b1a2a1,12,24,36,,,,,,,,,,,
O2a2b1a2a1*,12,24,36,,,,,,,,,,,
Q,9,14,23,,,,,,,,,,,
Q1,9,12,21,,,,,,,,,,,
Q1a,9,12,21,,,,,,,,,,,
Q1a1,8,12,20,,,,,,,,,,,
Q1a3,1,0,1,,,,,,,,,,,
R,8,3,11,,,,,,,,,,,
R1,6,3,9,,,,,,,,,,,
R1a,2,3,5,,,,,,,,,,,
R1a1,2,3,5,,,,,,,,,,,
R1a1a,2,2,4,,,,,,,,,,,
R1a1a*,0,1,1,,,,,,,,,,,
R1b,1,0,1,,,,,,,,,,,
R1b?,1,0,1,,,,,,,,,,,
